Observer point at r[0]=1.262205e-01 AU
   time           vr          rho         temp           Bp          prs
2.041379e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.050780e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.060180e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.069579e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.078979e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.088377e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.097774e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.107170e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.116565e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.125959e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.135354e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.144747e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.154139e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.163530e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.172920e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.182309e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.191700e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.201088e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.210474e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.219860e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.229245e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.238631e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.248016e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.257399e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.266780e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.276161e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.285542e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.294923e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.304303e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.313681e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.323058e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.332435e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.341811e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.351188e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.360563e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.369936e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.379309e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.388681e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.398053e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.407425e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.416795e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.426164e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.435532e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.444901e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.454269e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.463636e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.473001e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.482366e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.491730e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.501095e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.510459e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
2.519821e-04 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
