Observer point at r[822]=1.000358e+00 AU
   time           vr          rho         temp           Bp          prs
2.169894e-04 2.991528e+02 4.370682e+02 1.168691e+06 9.349001e+02 7.078354e+06
2.178837e-04 2.991475e+02 4.368177e+02 1.168356e+06 9.346315e+02 7.072270e+06
2.187778e-04 2.991422e+02 4.365673e+02 1.168021e+06 9.343631e+02 7.066190e+06
2.196717e-04 2.991369e+02 4.363171e+02 1.167686e+06 9.340947e+02 7.060115e+06
2.205657e-04 2.991316e+02 4.360669e+02 1.167351e+06 9.338262e+02 7.054044e+06
2.214596e-04 2.991262e+02 4.358168e+02 1.167017e+06 9.335578e+02 7.047976e+06
2.223535e-04 2.991209e+02 4.355668e+02 1.166682e+06 9.332894e+02 7.041912e+06
2.232472e-04 2.991155e+02 4.353169e+02 1.166347e+06 9.330210e+02 7.035853e+06
2.241407e-04 2.991101e+02 4.350671e+02 1.166012e+06 9.327528e+02 7.029799e+06
2.250340e-04 2.991047e+02 4.348175e+02 1.165678e+06 9.324845e+02 7.023749e+06
2.259273e-04 2.990993e+02 4.345679e+02 1.165343e+06 9.322162e+02 7.017703e+06
2.268206e-04 2.990939e+02 4.343184e+02 1.165009e+06 9.319480e+02 7.011660e+06
2.277139e-04 2.990884e+02 4.340690e+02 1.164674e+06 9.316797e+02 7.005621e+06
2.286070e-04 2.990829e+02 4.338198e+02 1.164340e+06 9.314116e+02 6.999588e+06
2.294998e-04 2.990775e+02 4.335706e+02 1.164005e+06 9.311434e+02 6.993559e+06
2.303926e-04 2.990720e+02 4.333216e+02 1.163671e+06 9.308753e+02 6.987534e+06
2.312853e-04 2.990665e+02 4.330726e+02 1.163337e+06 9.306073e+02 6.981513e+06
2.321780e-04 2.990610e+02 4.328237e+02 1.163002e+06 9.303392e+02 6.975495e+06
2.330707e-04 2.990554e+02 4.325749e+02 1.162668e+06 9.300711e+02 6.969481e+06
2.339631e-04 2.990499e+02 4.323262e+02 1.162334e+06 9.298031e+02 6.963472e+06
2.348554e-04 2.990443e+02 4.320777e+02 1.161999e+06 9.295351e+02 6.957468e+06
2.357476e-04 2.990387e+02 4.318292e+02 1.161665e+06 9.292672e+02 6.951468e+06
2.366397e-04 2.990331e+02 4.315809e+02 1.161331e+06 9.289992e+02 6.945472e+06
2.375319e-04 2.990275e+02 4.313326e+02 1.160997e+06 9.287313e+02 6.939479e+06
2.384240e-04 2.990219e+02 4.310844e+02 1.160663e+06 9.284634e+02 6.933490e+06
2.393158e-04 2.990163e+02 4.308363e+02 1.160329e+06 9.281955e+02 6.927506e+06
2.402075e-04 2.990106e+02 4.305883e+02 1.159995e+06 9.279277e+02 6.921526e+06
2.410991e-04 2.990049e+02 4.303405e+02 1.159661e+06 9.276599e+02 6.915551e+06
2.419907e-04 2.989993e+02 4.300927e+02 1.159327e+06 9.273921e+02 6.909579e+06
2.428823e-04 2.989936e+02 4.298450e+02 1.158993e+06 9.271243e+02 6.903611e+06
2.437738e-04 2.989878e+02 4.295974e+02 1.158660e+06 9.268566e+02 6.897647e+06
2.446651e-04 2.989821e+02 4.293499e+02 1.158326e+06 9.265889e+02 6.891687e+06
2.455562e-04 2.989764e+02 4.291026e+02 1.157992e+06 9.263212e+02 6.885732e+06
2.464473e-04 2.989706e+02 4.288553e+02 1.157658e+06 9.260536e+02 6.879781e+06
2.473383e-04 2.989648e+02 4.286081e+02 1.157325e+06 9.257859e+02 6.873834e+06
