   time      tracer1      tracer2
7.359422e-03 1.213749e+00 8.224161e-01
7.360073e-03 1.213749e+00 8.226672e-01
7.360724e-03 1.213749e+00 8.229184e-01
7.361375e-03 1.213749e+00 8.231697e-01
7.362026e-03 1.213749e+00 8.234210e-01
7.362678e-03 1.213749e+00 8.236724e-01
7.363329e-03 1.213749e+00 8.239239e-01
7.363981e-03 1.213749e+00 8.241755e-01
7.364633e-03 1.213749e+00 8.244271e-01
7.365285e-03 1.213749e+00 8.246788e-01
7.365938e-03 1.213749e+00 8.249305e-01
7.366590e-03 1.213749e+00 8.251824e-01
7.367243e-03 1.213749e+00 8.254343e-01
7.367895e-03 1.213749e+00 8.256863e-01
7.368548e-03 1.213749e+00 8.259383e-01
7.369201e-03 1.213749e+00 8.261904e-01
7.369854e-03 1.213749e+00 8.264426e-01
7.370508e-03 1.213749e+00 8.266949e-01
7.371161e-03 1.213749e+00 8.269472e-01
7.371815e-03 1.213749e+00 8.271996e-01
7.372469e-03 1.213749e+00 8.274520e-01
7.373123e-03 1.213749e+00 8.277045e-01
7.373777e-03 1.213749e+00 8.279571e-01
7.374431e-03 1.213749e+00 8.282098e-01
7.375086e-03 1.213749e+00 8.284625e-01
7.375740e-03 1.213749e+00 8.287153e-01
7.376395e-03 1.213749e+00 8.289681e-01
7.377050e-03 1.213749e+00 8.292210e-01
7.377705e-03 1.213749e+00 8.294740e-01
7.378360e-03 1.213749e+00 8.297271e-01
7.379015e-03 1.213749e+00 8.299802e-01
7.379671e-03 1.213749e+00 8.302333e-01
7.380327e-03 1.213749e+00 8.304866e-01
7.380982e-03 1.213749e+00 8.307399e-01
7.381638e-03 1.213749e+00 8.309932e-01
7.382294e-03 1.213749e+00 8.312467e-01
7.382951e-03 1.213749e+00 8.315001e-01
7.383607e-03 1.213749e+00 8.317537e-01
7.384263e-03 1.213749e+00 8.320073e-01
7.384920e-03 1.213749e+00 8.322610e-01
7.385577e-03 1.213749e+00 8.325147e-01
7.386234e-03 1.213749e+00 8.327685e-01
7.386891e-03 1.213749e+00 8.330223e-01
7.387548e-03 1.213749e+00 8.332762e-01
7.388205e-03 1.213749e+00 8.335302e-01
7.388863e-03 1.213749e+00 8.337842e-01
7.389520e-03 1.213749e+00 8.340383e-01
7.390178e-03 1.213749e+00 8.342925e-01
7.390836e-03 1.213749e+00 8.345467e-01
7.391494e-03 1.213749e+00 8.348009e-01
7.392152e-03 1.213749e+00 8.350552e-01
7.392810e-03 1.213749e+00 8.353096e-01
